genes,ExonLength,chr,chr_start,chr_end,WT_rep_1,WT_rep_2,WT_rep_3,WT_rep_4,KO_rep_1,KO_rep_2,KO_rep_3,KO_rep_4,DKO_rep_1,DKO_rep_2,DKO_rep_3
Pcdhb16,5268,18,37477767,37483035,53,45,36,39,101,107,158,59,56,102,65
Pcdhb17,3269,18,37485020,37488289,41,40,68,51,157,144,209,111,73,133,93
Pcdhb18,5039,18,37489464,37494503,25,20,34,26,38,43,75,42,38,37,28
Pcdhb19,7131,18,37496996,37504127,30,26,27,30,62,48,98,37,23,48,29
Pcdhb20,3395,18,37504263,37507658,16,12,21,33,80,41,81,48,19,40,29
Pcdhb21,4662,18,37513651,37518313,13,14,7,12,30,22,44,10,11,13,16
Pcdhb22,3067,18,37518352,37521419,19,17,37,32,93,63,122,41,28,51,52
Pcdhb3,3787,18,37300798,37304585,7,7,5,3,28,19,37,19,20,12,16
Pcdhb4,3719,18,37307454,37311173,17,9,22,20,49,43,54,21,25,35,29
Pcdhb5,3533,18,37320380,37323913,10,6,7,6,26,27,36,11,9,15,7
Pcdhb7,3506,18,37341701,37345207,13,18,9,14,61,44,72,22,31,35,17
Pcdhb8,2340,18,37355270,37357610,6,3,4,6,13,6,15,1,17,17,11
Pcdhb9,3055,18,37400854,37403909,22,21,12,10,171,114,245,55,74,62,49
Pcdhga12,26094,18,37674334,37841873,1748,2143,2198,1869,4309,2872,4533,2396,2327,3300,2820
Pced1a,5072,2,130417246,130424701,450,492,590,528,652,499,557,465,489,736,605
Pced1b,2198,15,97247106,97385689,79,71,99,86,189,204,248,180,115,300,292
Pcf11,6412,7,92643711,92669933,1373,1347,1418,1286,991,1240,1435,752,969,1801,1255
Pcgf1,1471,6,83077868,83080855,209,238,236,218,236,248,260,247,184,309,283
Pcgf2,3526,11,97688822,97700497,551,724,721,614,1143,1244,1503,1371,619,914,850
Pcgf3,9544,5,108461231,108506976,1670,1520,1807,1725,1903,1628,2379,1344,1416,2103,1747
Pcgf5,1659,19,36379066,36456192,556,490,504,437,464,487,564,330,411,592,544
Pcgf6,2098,19,47033618,47050845,334,316,353,369,519,530,642,495,343,478,382
Pcid2,3084,8,13077188,13105459,403,353,384,367,380,340,430,183,338,445,440
Pcif1,6544,2,164879303,164894454,1636,1676,1803,1623,2199,2110,2896,1539,1572,2467,2215
Pck1,3429,2,173153047,173159273,117965,75734,80566,82278,16386,32268,22693,31126,34568,60072,38477
Pck2,3400,14,55540265,55550017,754,792,816,740,1612,1012,1362,1100,767,1105,1022
Pclo_1,19182,5,14514917,14860184,571,423,524,540,371,240,328,198,335,523,499
Pcm1,8380,8,41239758,41334086,3038,2717,2945,3071,3012,2586,3311,1994,2671,3757,3047
Pcmt1,4718,10,7629372,7681136,2964,2767,2925,2769,2763,2656,2807,2111,2398,3353,3296
Pcmtd1,6654,1,7088919,7173628,3265,3191,3204,3018,2530,2489,2514,1616,2787,3651,3248
Pcmtd2,4183,2,181837853,181857461,3207,3155,3232,3025,2500,2501,2442,2017,2766,3633,3485
Pcna,2400,2,132249161,132253314,696,636,652,605,1170,873,1297,802,661,960,944
Pcnp,3115,16,56007244,56029739,2857,2948,3092,2800,3430,2903,3046,2483,3002,3627,3327
Pcnt,9530,10,76351253,76442912,1157,1121,1287,1266,1406,1117,1433,877,1010,1702,1296
Pcnx,12139,12,81860029,82000924,2770,2764,2676,2666,2788,2502,3108,1652,2283,3357,2743
Pcnxl2,7796,8,125751507,125898317,1,4,24,13,12,2,20,7,2,7,3
Pcnxl3,8757,19,5664634,5688908,3402,3077,3712,3676,4076,3420,4415,3314,3074,4518,3611
Pcnxl4,4420,12,72536356,72580213,394,468,476,408,520,446,549,325,430,615,498
Pcolce,3823,5,137605102,137613784,3346,3265,3479,3034,6050,4215,6269,3602,3353,4576,4804
Pcolce2,4625,9,95637600,95698096,237,251,309,257,205,135,208,54,252,327,267
Pcp4,641,16,96467605,96525793,7,17,13,4,14,8,16,18,10,18,22
Pcp4l1,1577,1,171173261,171196268,252,280,234,222,263,327,344,304,202,178,215
Pcsk1,3241,13,75089825,75132498,1,2,4,1,11,22,5,2,4,1,2
Pcsk4,2958,10,80321282,80329498,85,94,120,135,118,200,169,318,98,143,118
Pcsk5,9346,19,17432831,17837632,1540,1138,1472,1690,1200,1253,1154,889,1163,1381,1077
Pcsk6,5144,7,65861733,66050340,2176,2738,2346,1928,1731,1222,1103,575,1924,3676,3604
Pcsk7,3784,9,45906568,45929692,2036,1846,1988,1905,2056,1856,2189,1479,1650,2537,2419
Pcsk9,3521,4,106442328,106464329,1342,494,690,273,900,800,1011,1746,432,739,505
Pctp,2723,11,89982664,90002894,1998,1574,1775,1864,1070,1295,1089,1163,1356,1760,1744
Pcx,4272,19,4510471,4621752,18533,17267,18239,19099,7212,14946,8237,8480,12633,17079,14809
Pcyox1,4797,6,86386005,86397150,8449,8629,7794,7801,7950,7156,7849,4962,6859,9163,8087
Pcyox1l,2645,18,61696836,61707635,214,183,203,210,201,118,149,166,194,264,162
Pcyt1a,5751,16,32430920,32475070,4800,3986,4534,4511,5241,5757,5225,3345,3784,4919,4391
Pcyt1b,5357,X,93654862,93749951,3,5,3,5,44,19,57,21,11,18,18
Pcyt2,4346,11,120610086,120617936,4612,3840,4782,5020,3336,3749,2843,4988,3755,5872,4715
Pdap1,3201,5,145128768,145140238,1537,1403,1589,1559,1804,1521,1817,1356,1283,1653,1601
Pdcd1,1930,1,94038304,94052553,4,10,12,8,45,54,87,27,40,165,213
Pdcd10,2939,3,75516489,75556856,487,475,473,495,642,580,671,475,469,666,666
Pdcd11,6041,19,47090765,47131143,643,558,551,676,668,550,729,403,478,713,586
Pdcd1lg2,1645,19,29410918,29471157,3,2,6,2,12,2,22,2,16,32,76
Pdcd2,2582,17,15519207,15527301,161,163,152,176,218,190,187,196,151,180,173
Pdcd2l,1315,7,34184498,34196661,565,537,645,495,635,568,735,553,512,663,674
Pdcd4,2556,19,53892230,53929861,1576,2061,1646,1628,3049,2249,2917,1980,1780,2131,2101
Pdcd5,2486,7,35641981,35647521,134,177,206,208,241,197,246,248,205,208,156
Pdcd6,1524,13,74303120,74317326,2810,2848,2931,2694,3331,3270,3518,2906,2577,3333,3442
Pdcd6ip,6903,9,113651743,113708259,7307,6763,6782,6772,9799,7455,10190,5639,6424,8284,7122
Pdcd7,2454,9,65346067,65359642,440,439,440,489,500,441,553,359,423,582,516
Pdcl,3751,2,37350073,37359332,1545,1465,1563,1320,1721,1491,1979,1219,1312,1783,1729
Pdcl3,1706,1,38987813,38997236,1624,1561,1551,1551,2279,1982,2335,1537,1528,2024,1768
Pddc1,2871,7,141408134,141414136,800,874,949,836,1252,1205,1370,1181,928,1152,1210
Pde10a,12598,17,8525371,8986648,269,216,101,205,361,282,336,154,131,170,205
Pde11a,5208,2,75989140,76338774,38,66,53,80,33,27,40,21,37,86,50
Pde12,7725,14,26659957,26669883,849,712,829,833,835,716,1083,620,731,975,842
Pde1a,6012,2,79834452,80129458,3508,3826,3635,3208,3096,2770,2595,1763,2596,3915,3555
Pde1b,2954,15,103503297,103530052,159,197,176,174,363,243,434,230,207,379,300
Pde1c,12803,6,56069820,56369634,130,434,105,137,270,194,348,163,165,143,148
Pde2a,4220,7,101421690,101512829,1326,1340,1448,1576,2906,2263,2761,1479,1692,2145,1751
Pde3a,10794,6,141249268,141505940,455,483,556,518,1203,950,1417,373,591,826,660
Pde3b,6899,7,114415280,114539251,1695,1350,1438,1375,2861,2225,2666,1717,1689,1855,1529
Pde4a,7655,9,21165713,21213248,267,283,275,285,525,293,517,300,241,424,382
Pde4b,10560,4,102087542,102607259,912,694,927,872,1169,953,1345,562,870,1319,1154
Pde4c,5545,8,70723719,70751186,2342,1953,2619,2650,1436,2079,1574,2340,1874,3137,2443
Pde4d_1,12006,13,108449947,109953461,1266,1344,1068,1271,705,844,938,439,1023,1197,1172
Pde4d_2,1855,13,109954108,109955963,457,533,431,533,429,491,369,419,583,557,509
Pde4dip,16508,3,97689823,97888707,7832,6603,7406,6787,5286,5516,5293,3598,5059,7791,6712
Pde5a,6728,3,122729157,122859374,321,327,319,262,598,491,625,334,370,381,316
Pde6a,4521,18,61220481,61289924,171,137,159,166,26,32,20,4,63,104,120
Pde6d,2178,1,86542993,86582629,814,821,848,777,1047,778,1005,823,720,1006,947
Pde6g,2317,11,120447604,120453500,13,15,10,15,3,6,4,12,9,19,15
Pde7a,7748,3,19223107,19311322,901,917,919,902,1045,787,1082,673,884,1134,1126
Pde7b,7232,10,20398003,20725078,596,672,691,547,880,725,981,339,600,943,732
Pde8a,4045,7,81213595,81334533,3513,2842,3139,3136,2716,2853,2673,2066,2626,3664,3060
Pde8b,5879,13,95024453,95250336,407,529,463,457,757,686,1102,477,489,650,517
Pde9a,2834,17,31386233,31476310,1283,1182,1546,1252,757,1134,837,836,1122,1527,1727
Pdf,1704,8,107044697,107048614,53,58,52,57,48,36,58,45,42,60,63
Pdgfa,3119,5,138976013,138997370,404,594,475,389,1354,1138,1589,1144,576,691,634
Pdgfb,2918,15,79995899,80014808,899,882,876,854,3282,2263,2989,2054,1208,1600,1461
Pdgfc,5089,3,81036415,81214040,839,877,1018,692,698,813,814,578,651,914,1026
Pdgfd,3119,9,6168611,6378843,573,494,557,478,1016,716,1057,562,579,847,863
Pdgfra,6737,5,75152290,75198204,820,1474,1301,1065,3710,2157,3622,323,1775,2531,1819
Pdgfrb,5478,18,61045149,61085061,1119,1274,1555,1449,5343,2738,5453,1008,1826,2816,2119
Pdgfrl,3126,8,40926211,40990785,13,12,12,24,78,67,107,19,34,30,19
Pdha1,3734,X,160122208,160138413,16338,14636,15411,13860,8275,9277,9339,5152,10838,15137,13539
Pdhb,1485,14,8165990,8172992,7481,6613,7151,6966,4989,5136,4583,3757,6068,7435,7501
Pdhx,3930,2,103021074,103073513,1887,1629,1747,1659,1246,1297,1341,998,1495,1852,1807
Pdia3,3139,2,121413774,121438687,23922,19864,23107,21919,27806,18688,21411,15404,21549,27760,27052
Pdia4,2480,6,47796141,47813512,5941,4365,4310,4474,6662,4347,4845,3471,4111,5163,4797
Pdia5,1808,16,35397312,35490873,803,685,768,736,941,700,723,439,711,903,717
Pdia6,3745,12,17266544,17284770,9650,7676,8177,7253,12571,7283,8408,5639,7846,9797,9646
Pdik1l,5810,4,134275001,134287895,667,652,697,663,640,589,800,495,584,842,701
Pdilt,2139,7,119486586,119523482,72,95,121,113,161,108,172,94,77,140,167
Pdk1,7779,2,71873223,71903858,1946,1729,2054,1719,1777,2390,2869,1556,1465,2416,2554
Pdk2,3163,11,95026257,95041354,12755,10689,12314,12225,6012,7871,5265,5875,7290,10737,11171
Pdk3,2561,X,93764606,93832201,1720,1700,1933,1866,1308,1027,1238,823,1342,1972,1981
Pdk4,3511,6,5483350,5496309,990,1586,956,1874,2201,3322,1610,1042,2166,1934,1234
Pdlim1,5260,19,40221172,40271842,121,134,124,122,421,200,376,190,143,176,150
Pdlim2,4486,14,70164217,70177681,439,482,489,430,784,610,949,302,503,787,712
Pdlim3,1578,8,45885484,45919546,118,126,101,108,247,192,343,325,120,107,93
Pdlim4,2560,11,54054927,54069014,70,103,100,94,494,280,528,241,156,253,234
Pdlim5,6448,3,142239585,142395696,3844,3569,3428,3399,4921,4554,5462,3334,3330,4029,3593
Pdlim7,4849,13,55495794,55513676,362,370,303,370,2125,1359,2312,1315,514,590,491
Pdp1,4507,4,11958183,11966452,324,455,359,289,694,600,815,328,418,524,523
Pdp2,3485,8,104591467,104596836,3248,2290,2805,2588,1154,1135,1005,781,1776,2536,2408
Pdpk1,10935,17,24073679,24150924,3516,3320,3268,3366,2805,2745,3656,1650,2707,3957,3377
Pdpn,1817,4,143267430,143299564,321,274,351,271,1354,784,1531,569,493,482,483
Pdpr,5028,8,111094629,111137074,1269,1065,1236,1068,544,615,882,241,672,1145,906
Pdrg1,2443,2,153008889,153015427,1700,1568,1545,1642,2164,1508,1736,1717,1529,2163,2102
Pds5a,4146,5,65615259,65697856,2311,2236,2185,2024,2000,1611,2336,943,1780,2515,2010
Pds5b,9397,5,150673738,150810690,1613,1429,1513,1637,1615,1425,1769,1029,1392,1856,1658
Pdss1,4248,2,22895521,22940266,485,506,590,573,412,456,346,346,397,545,523
Pdss2,5963,10,43221485,43464882,1095,884,1173,976,639,615,541,509,792,1037,957
Pdxdc1,7973,16,13833147,13903131,3553,3368,3612,3436,3941,3337,4118,2174,2928,4143,3802
Pdxk,5124,10,78436743,78464975,12542,9642,12554,11180,6968,8948,8826,6124,8136,13420,12980
Pdxk-ps,2804,17,32076082,32107350,10,18,34,17,9,20,18,13,14,50,47
Pdzd11,2127,X,100622882,100626568,1355,1105,1323,1184,1163,1058,996,954,1004,1318,1300
Pdzd2,18419,15,12359710,12739924,3793,3081,3708,3458,1261,1895,1306,1369,2416,3673,2621
Pdzd3,2181,9,44247311,44251464,4442,3710,4639,4255,2499,2863,2017,2712,3525,4225,3882
Pdzd4,3970,X,73793358,73824969,60,69,66,63,160,127,216,102,91,117,89
Pdzd7,4089,19,45026905,45046614,68,69,66,65,89,55,65,54,59,65,66
Pdzd8,7076,19,59296083,59345780,2086,2082,2109,2181,2100,2055,2653,1467,1993,2894,2348
Pdzd9,1615,7,120659295,120670343,33,32,46,29,25,27,24,25,28,35,37
Pdzk1,3556,3,96829283,96870926,32018,27091,33164,30694,11937,11663,8193,8600,21603,25927,23420
Pdzk1ip1,1778,4,115088707,115093899,27319,23970,25795,25731,19972,24177,18616,23889,22351,29204,29153
Pdzrn3,7256,6,101149608,101377897,797,979,881,1021,1045,1024,1171,765,856,916,900
Pdzrn4,4179,15,92396914,92771819,89,88,100,68,14,25,14,16,32,84,134
Pea15a,3861,1,172196727,172206804,2923,3206,3218,2777,19608,12920,23786,10532,5630,7050,5352
Peak1,11109,9,56201125,56418067,855,881,879,893,2014,1326,1923,865,1019,1571,1179
Pear1,6781,3,87747889,87824306,572,800,805,659,1864,1416,2183,797,862,1315,954
Pebp1,1771,5,117282650,117287625,3962,3840,4067,3732,3605,3644,3397,3361,3300,4221,4222
Pecam1,4314,11,106654216,106750628,3140,3669,3054,2696,5130,5005,5332,3840,3546,4742,3958
Pecr,1516,1,72259166,72284314,4796,5173,4838,5297,2102,2950,1841,2367,3869,4696,5101
Pef1,1915,4,130102557,130128135,2774,2553,2586,2575,2918,2608,2793,2516,2191,2857,3023
Peg10,6667,6,4747305,4760517,27,118,24,30,45,29,49,20,25,33,23
Peg12,2640,7,62461870,62464510,9,17,7,9,48,36,60,13,23,23,10
Peg3,13314,7,6703891,6730421,537,550,627,677,671,793,810,373,395,607,376
Peli1,6553,11,21091290,21150323,778,746,790,654,948,746,1131,615,809,1227,1113
Peli2,5849,14,48120868,48260883,2607,2492,2744,2534,2011,2383,1994,1442,2289,3055,2967
Peli3,3786,19,4930650,4943127,99,110,102,86,107,100,122,57,94,143,79
Pelo,1600,13,115088356,115090188,29,30,34,43,55,45,48,48,26,40,37
Pelp1,3561,11,70392882,70410031,799,774,860,912,1200,899,1300,841,863,1076,1021
Pemt,2104,11,59970613,60046489,55,58,49,63,113,92,149,94,56,80,78
Penk,1634,4,4133530,4138819,30,25,35,54,139,84,192,17,54,80,100
Peo1,3488,19,45006557,45012762,1438,1320,1440,1494,1087,1004,1025,919,1203,1522,1334
Pepd,3079,7,34912378,35044710,10382,8606,10154,9664,6860,6862,6130,6079,7253,8698,8646
Per1,5631,11,69095216,69109960,770,1030,1255,504,1487,3963,2882,3394,586,1885,686
Per2,5856,1,91415981,91459324,299,256,252,210,479,767,746,591,215,341,235
Per3,9608,4,151003651,151044665,35,43,32,25,32,66,64,48,21,47,45
Perm1,3901,4,156215867,156221307,330,388,294,284,69,83,82,74,139,336,446
Perp,1901,10,18845070,18857073,2415,2579,3110,2720,2704,3188,3052,2991,2650,3081,2997
Pes1,3024,11,3963974,3980004,1363,1237,1344,1315,2044,1695,2075,1486,1184,1597,1618
Pet100,1189,8,3621550,3624231,785,762,816,702,752,685,620,811,608,892,910
Pet112,4299,3,85574118,85655622,984,870,1132,839,414,494,330,281,654,1003,905
Pex1,7740,5,3596065,3637232,912,782,960,830,613,730,678,505,736,948,806
Pex10,3298,4,155067015,155072433,521,481,489,482,404,475,408,446,380,542,497
Pex11a,2368,7,79735956,79743131,2246,2009,2477,2850,1668,2944,2112,2366,2320,2958,2478
Pex11b,5615,3,96635375,96653101,1503,1458,1610,1521,1435,1504,1657,1331,1344,1825,1804
Pex11g,3397,8,3457104,3467680,496,427,572,437,500,537,482,495,386,562,515
Pex12,3536,11,83294641,83302586,632,524,672,580,533,611,578,435,525,740,720
Pex13,4644,11,23646478,23665959,1884,1581,1855,1759,1455,1484,1444,1232,1626,1970,1905
Pex14,6272,4,148960534,149099876,482,443,470,413,462,445,468,350,387,496,478
Pex16,1775,2,92374675,92381217,1192,1181,1333,1317,1210,1339,1267,1267,1109,1488,1349
Pex19,3815,1,172126754,172136493,4612,4327,4557,4248,3708,3898,4280,2869,3864,5019,4996
Pex2,2270,3,5560187,5576239,2009,1667,2019,1812,2014,1905,2197,1655,1814,2204,2285
Pex26,5667,6,121183666,121198837,1412,1242,1416,1414,1216,1163,1489,1104,1129,1766,1562
Pex3,4740,10,13523841,13553142,1191,1157,1389,1253,929,1103,1057,834,1061,1465,1466
Pex5,3943,6,124396815,124415067,3985,3562,3940,3739,2938,3666,3221,3031,3055,4087,3782
Pex5l,5262,3,32949407,33143247,140,173,123,121,49,64,24,23,83,178,110
Pex6,3796,17,46711462,46725541,1068,1029,1065,1064,724,568,575,735,915,1104,985
Pex7,2351,10,19859928,19907689,2804,2580,3013,2582,1981,2586,2049,1884,2471,3072,3062
Pf4,586,5,90772434,90773381,17,5,7,8,249,171,364,115,66,39,66
Pfas,7933,11,68985696,69008460,1277,1090,1295,1251,861,790,1004,802,863,1625,1246
Pfdn1,1077,18,36403678,36454495,2650,2505,2673,2658,3268,3315,3173,3161,2341,3032,2980
Pfdn2,1937,1,171345669,171359254,1297,1373,1296,1256,1605,1468,1505,1561,1253,1476,1444
Pfdn4,2520,2,170496427,170519123,388,372,373,330,472,415,494,378,339,484,423
Pfdn5,1394,15,102326115,102331873,3243,3221,3445,2738,3588,3540,3526,3863,2665,3901,3737
Pfdn6,1193,17,33938820,33940343,1070,955,1064,964,1301,1138,1181,1347,925,1284,1161
Pfkfb1,4017,X,150588228,150643878,20,26,39,26,72,45,72,46,39,57,52
Pfkfb2,6157,1,130689181,130729253,56,52,55,49,35,42,49,32,35,56,54
Pfkfb3,7030,2,11471429,11502101,851,1494,845,745,1361,1267,1641,720,1248,1713,1812
Pfkfb4,3957,9,108991901,109032223,314,296,369,269,760,611,1002,482,439,726,673
Pfkl,4395,10,77986946,78010083,3565,3739,3836,3422,4441,4408,5288,3062,3410,4466,4255
Pfkm,2957,15,98092588,98132447,3110,2714,2977,2930,1777,1693,1648,1498,2075,3260,2737
Pfkp,9395,13,6579767,6648777,2565,2829,2690,2850,5488,3681,6018,3281,2735,3930,4189
Pfn1,1026,11,70651849,70654644,6560,7196,6781,6084,15032,10482,15877,12291,7355,10105,10488
Pfn2,3017,3,57841894,57847564,2476,2852,2358,2325,3144,2869,3114,2242,2414,3362,3655
Pfn3,414,13,55414752,55415166,1334,1106,1253,1442,630,669,400,1202,992,1155,980
Pfn4,1306,12,4769294,4778266,29,38,39,30,22,25,28,22,26,44,28
Pgam1,1831,19,41911870,41918664,7370,6947,7184,7356,6427,5496,5823,5004,5798,7039,6990
Pgam2,840,11,5801639,5803733,2847,2232,2837,2482,984,1116,1051,1655,953,1861,2206
Pgam5,2373,5,110259129,110269913,106,81,116,97,122,92,137,65,75,93,114
Pgap1,10617,1,54472993,54557684,1492,1698,1363,1446,1303,1151,1786,796,1113,1598,1366
Pgap2,4531,7,102210207,102238567,842,936,921,799,1293,858,1268,840,932,1515,1353
Pgap3,3248,11,98388676,98400490,931,804,882,853,1025,1024,1149,924,656,945,890
Pgbd1,3585,13,21421274,21441058,133,101,135,135,107,89,95,95,114,185,109
Pgbd5,4197,8,124369048,124439658,13,11,15,17,150,87,182,64,53,73,78
Pgd,6447,4,149149990,149166771,4285,3583,3955,3404,7461,6920,9453,10630,4285,5084,4979
Pgf,1582,12,85166638,85177296,11,10,13,12,67,71,67,61,7,12,14
Pggt1b,2736,18,46239948,46280850,706,683,733,713,693,615,1064,365,644,944,836
Pgk1,2244,X,106187099,106203699,1504,1303,1449,1372,1039,1012,1006,748,1087,1420,1442
Pgls,3770,8,71592175,71601092,1759,1770,1972,1708,2086,2150,2404,2569,1628,2071,1951
Pglyrp1,681,7,18884689,18890438,12,8,15,9,50,42,147,41,39,37,78
Pglyrp2,2238,17,32413099,32424167,13,16,19,12,139,31,84,21,44,117,125
Pgm1,2608,5,64092935,64128355,615,510,577,571,996,764,1246,585,543,710,670
Pgm2,2921,4,99929413,99987294,3908,3313,3964,3563,2343,3137,2764,2644,3092,3908,3651
Pgm2l1,7036,7,100227393,100278868,219,328,218,185,376,243,412,178,230,307,233
Pgm3,4487,9,86554376,86571842,1111,1184,1354,1178,908,1046,947,684,950,1146,1166
Pgm5,3611,19,24683015,24861855,630,715,573,443,872,650,718,368,587,693,592
Pgp,1027,17,24470472,24471591,816,1024,1037,1014,1243,1111,1373,1281,998,1021,868
Pgpep1,4882,8,70646435,70659738,7830,7185,8500,7384,6052,6601,5650,5583,6783,8576,8518
Pgpep1l,955,7,68236607,68264233,30,29,27,41,23,11,19,11,33,40,27
Pgr,8546,9,8899832,8968611,93,87,76,63,108,59,135,59,80,118,99
Pgrmc1,1857,X,36598205,36606079,12155,10667,12608,10944,8628,10020,10014,11088,9560,13392,12494
Pgrmc2,3242,3,41066325,41083046,2427,2503,2622,2493,2923,2568,2826,2150,2547,3033,2866
Pgs1,5333,11,117986291,118024011,944,987,942,974,1506,1124,1699,902,955,1389,1125
Phactr1,9611,13,42680622,43138526,1179,1271,1081,878,1231,1028,1353,620,849,1229,1189
Phactr2,11688,10,13207716,13474396,2463,2314,2561,2496,2862,2319,3494,1517,2080,3438,2836
Phactr4,4960,4,132355922,132422489,3237,3000,3538,3302,3271,3200,3551,2611,2937,3877,3517
Phax,2223,18,56562442,56587712,1057,1145,1146,1197,1541,1316,1456,1180,1119,1442,1298
Phb,2805,11,95666956,95680773,1859,1672,1865,1682,1634,1687,1507,1761,1549,1966,2183
Phb2,3718,6,124712335,124716950,5227,4605,5025,4927,4775,5193,5100,4695,4214,5353,4940
Phc1,5297,6,122317730,122340561,1711,1816,1827,1660,2043,1770,2226,1297,1495,2046,1764
Phc2,7064,4,128654701,128752881,2185,2481,2371,2278,4454,3471,5058,3195,2410,3808,3686
Phc3,14670,3,30899294,30969415,2852,2620,2887,2871,2315,2068,2901,1586,2460,3982,3067
Phf1,2429,17,26933126,26937890,983,1206,1022,1043,1488,1347,1600,1551,1099,1700,1441
Phf10,4914,17,14945008,14961273,360,369,370,399,560,432,561,360,347,507,431
Phf11a,1354,14,59276912,59297522,5,6,18,8,50,17,46,8,37,86,109
Phf11b,1184,14,59320963,59341351,41,50,60,53,215,67,150,62,150,310,270
Phf11c,3459,14,59380832,59395381,34,47,49,43,55,50,49,77,41,100,79
Phf11d,4498,14,59347406,59365470,142,126,138,139,465,147,336,146,313,464,299
Phf12,4909,11,77982753,78030539,1272,1297,1437,1352,1473,1400,2106,1268,1222,1948,1575
Phf13,3205,4,151989632,151996258,387,467,435,376,791,627,1021,518,391,606,516
Phf14,4547,6,11907808,12081197,1277,1204,1408,1338,1905,1602,2016,1346,1349,1645,1595
Phf19,5036,2,34893756,34914026,29,30,44,37,75,58,90,51,35,69,58
Phf2,5260,13,48801749,48870885,2228,2353,2033,2211,2432,2071,3037,1700,1887,2909,2386
Phf20,9988,2,156196465,156309952,1070,1272,1144,1031,1790,1466,1735,870,1096,1519,1313
Phf20l1,6670,15,66577571,66645255,1661,1380,1608,1624,1743,1578,2141,1422,1450,2059,1609
Phf21a,8561,2,92093116,92364666,1012,1086,1058,1010,1569,1285,1687,1045,1001,1515,1243
Phf21b,4264,15,84785380,84856049,74,66,65,70,109,96,111,93,57,150,108
Phf23,3273,11,69995776,70000009,1035,959,1161,1050,1624,1247,1720,1342,1045,1720,1421
Phf2os1,498,13,48871111,48875460,6,7,13,12,21,11,14,16,9,15,13
Phf3,10582,1,30802338,30873921,3337,3274,3307,3468,3691,3118,3985,2543,2958,4027,3502
Phf5a,937,15,81865318,81871911,1114,969,1012,1027,1439,1241,1342,1303,1032,1117,1224
Phf6,6946,X,52912265,52956943,822,1202,761,733,1095,843,1292,702,840,1145,1044
Phf7,1984,14,31237695,31251218,377,376,485,342,377,553,446,378,401,586,601
Phf8,9318,X,151520671,151633859,1012,951,876,1008,895,723,1005,584,768,1200,1074
Phgdh,2486,3,98313169,98339990,251,336,266,239,846,379,625,453,274,326,266
Phip,18262,9,82866158,82975516,1408,1395,1343,1302,1689,1244,2386,1207,1365,2201,1622
Phka1,6259,X,102513974,102644246,645,640,725,643,716,579,638,499,534,799,669
Phka2,6068,X,160502165,160598878,735,634,801,805,634,694,744,603,617,958,843
Phkb,7417,8,85840958,86061376,2833,2661,2952,2995,1895,1454,1522,940,2105,2958,2597
Phkg1,3232,5,129863420,129898549,41,38,50,45,61,28,54,43,42,50,46
Phkg2,3998,7,127573339,127583305,518,504,523,592,713,692,808,741,478,695,644
Phlda1,2205,10,111506285,111508645,117,117,107,107,302,186,283,212,113,177,146
Phlda2,757,7,143501544,143502541,303,285,314,288,227,283,259,285,295,290,272
Phlda3,1559,1,135766118,135769136,247,441,301,294,1152,717,1329,1259,562,488,442
Phldb1,7179,9,44686303,44735198,1446,1599,1594,1534,3104,2363,3320,2074,1677,2388,1880
Phldb2,7577,16,45746242,45953598,7140,7247,7828,7684,6631,6497,7840,4960,6600,8820,7825
Phldb3,2273,7,24611327,24629288,147,166,165,152,327,206,322,227,157,235,175
Phlpp1,6752,1,106171751,106394250,1421,1260,1326,1384,1183,1151,1306,702,1074,1532,1289
Phlpp2,8449,8,109868541,109944671,1142,1038,1107,1128,843,839,1043,553,901,1231,977
Phospho1,2029,11,95824498,95832140,6,15,10,5,11,15,12,3,13,11,11
Phospho2,4335,2,69789622,69800005,1224,1052,1245,1137,966,883,1017,870,969,1387,1114
Phpt1,1074,2,25573429,25575224,121,138,130,120,157,162,157,129,120,147,133
Phrf1,6765,7,141228783,141262750,1654,1693,1692,1832,2193,1770,2507,1680,1462,2376,1862
Phtf1,7294,3,103968109,104024598,856,858,859,899,1273,898,1135,677,873,1209,1073
Phtf2,6929,5,20758662,20882124,577,610,564,520,439,474,492,345,422,647,517
Phyh,1893,2,4919018,4938730,426,336,16285,381,4575,420,324,360,290,441,407
Phyhd1,2657,2,30266202,30282149,171,150,176,160,115,162,119,102,125,177,175
Phyhip,2910,14,70457475,70468832,314,247,347,283,72,72,46,50,83,244,278
Phyhipl,9732,10,70557681,70655965,1349,1550,1443,1415,1095,1252,1255,1440,1301,1721,1503
Phykpl,9699,11,51584756,51604489,563,506,598,577,490,665,608,452,442,647,567
Pi15,6923,1,17601900,17630939,10,10,9,8,27,32,40,10,10,17,6
Pi16,3987,17,29318876,29329413,332,284,361,406,951,1547,1194,865,509,417,288
Pi4k2a,3771,19,42090434,42122218,4145,3393,4028,3681,3280,2730,3129,2780,2765,3981,3574
Pi4k2b,3751,5,52741586,52769344,970,1056,1019,913,1019,1058,1336,797,1057,1263,1087
Pi4ka,11257,16,17280350,17406314,5846,4946,5595,5328,4405,3920,4076,2295,3968,5693,5100
Pi4kb,3880,3,94974730,95006843,1781,1614,1719,1728,1652,1443,1872,1149,1455,2105,1859
Pianp,2753,6,124996693,125003096,21,26,21,12,79,43,112,47,41,85,119
